frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_GROIN_x,LEFT_GROIN_y,LEFT_GROIN_z,RIGHT_GROIN_x,RIGHT_GROIN_y,RIGHT_GROIN_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_BIG_TOE_x,LEFT_BIG_TOE_y,LEFT_BIG_TOE_z,LEFT_LITTLE_TOE_x,LEFT_LITTLE_TOE_y,LEFT_LITTLE_TOE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_BIG_TOE_x,RIGHT_BIG_TOE_y,RIGHT_BIG_TOE_z,RIGHT_LITTLE_TOE_x,RIGHT_LITTLE_TOE_y,RIGHT_LITTLE_TOE_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z
11,-0.056816638,-0.65822184,0.7015379,-0.06255416,-0.6781433,0.7372851,-0.08956889,-0.7014172,0.67763144,-0.06819732,-0.6398295,0.7674959,-0.23661034,-0.70309764,0.6130929,-0.15072873,-0.4471948,0.76218826,-0.39599013,-0.58050543,0.51006764,-0.09667953,-0.21462618,0.7388359,-0.4991752,-0.46865445,0.41000476,0.07503342,-0.36813498,0.639318,-0.55828005,-0.31519973,0.30732602,-0.55807406,-0.038601413,0.64442384,-0.65339404,-0.12949081,0.46893433,-0.79244596,0.23120058,0.5337576,-0.22396648,0.08022207,0.4707362,-0.8537076,0.5692461,0.54061085,-0.67752403,0.5189027,0.3122671,-0.617127,0.66033345,0.4853751,-0.66625166,0.6729994,0.5364453,-0.976956,0.57867426,0.5383694,-0.5008027,0.645715,0.33964872,-0.58195084,0.62152636,0.2693945,-0.77176386,0.56329656,0.30271143
12,-0.021235056,-0.6595195,0.70033866,-0.026637938,-0.6801014,0.73488957,-0.05330271,-0.7036933,0.67444175,-0.035617992,-0.64306754,0.7676081,-0.19988997,-0.70496845,0.6110166,-0.11201349,-0.45032328,0.7619595,-0.36465123,-0.5810326,0.5098367,-0.051244028,-0.21243851,0.74496186,-0.47750735,-0.53353804,0.41621122,0.11165293,-0.35754222,0.64121544,-0.5943298,-0.37987474,0.29756352,-0.5494986,-0.036485434,0.6470047,-0.6510474,-0.1318378,0.46825537,-0.8151342,0.24393961,0.5279642,-0.16996056,0.07410165,0.46916166,-0.8345149,0.6108467,0.5771051,-0.60664064,0.537643,0.31031895,-0.50388056,0.68265164,0.52254486,-0.56996787,0.6944143,0.5755033,-1.0444677,0.6488164,0.5787949,-0.3804395,0.6501978,0.35035497,-0.4681318,0.63410324,0.27497754,-0.70405924,0.59012693,0.3016098
13,0.016636448,-0.66163903,0.70060813,0.00765322,-0.6806165,0.7344716,-0.019836938,-0.70442975,0.673569,5.2277617e-05,-0.64592314,0.76690686,-0.16902465,-0.704899,0.6093773,-0.076545365,-0.44490913,0.76200616,-0.33723184,-0.5814995,0.51234865,-0.010248352,-0.21145485,0.7484744,-0.46313915,-0.5355996,0.4159162,0.14824373,-0.348224,0.6418219,-0.44281378,-0.49504894,0.33177537,-0.5065726,-0.037928298,0.6490215,-0.61977,-0.13855678,0.46438402,-0.8280435,0.26911908,0.5234307,-0.11995837,0.07221723,0.4613348,-0.71789646,0.26191851,0.48551774,-0.5357652,0.55620027,0.3148382,-0.43056273,0.67812943,0.5298239,-0.4966558,0.70789546,0.58768284,-0.6365691,0.2602747,0.51092476,-0.27039593,0.651104,0.35186362,-0.36185947,0.643344,0.2836371,-0.62932724,0.6110328,0.30807656
14,0.08271012,-0.65926415,0.70230424,0.07949003,-0.67994344,0.7370754,0.048114836,-0.7033491,0.6775022,-0.10944785,-0.6565587,0.7535066,-0.099861845,-0.70527405,0.6138334,0.0066780546,-0.4497652,0.7634415,-0.29486117,-0.5821678,0.5156785,0.06705651,-0.20969807,0.75237685,-0.46674937,-0.5348356,0.41156712,0.22306679,-0.32942435,0.6424644,-0.4818733,-0.39266202,0.3081087,-0.43928903,-0.048075322,0.6472533,-0.551047,-0.15908937,0.46229988,-0.88366026,0.31820157,0.5191973,-0.030824697,0.07093814,0.45930347,-0.55923796,0.59650475,0.64558846,-0.3945109,0.58544946,0.32500064,-0.20046431,0.67343193,0.5757578,-0.8108031,1.2824519,0.8531784,-0.69791543,0.56358945,0.626354,-0.061060376,0.64658755,0.3568935,-0.16114274,0.6480408,0.28554058,-0.49440992,0.6602085,0.31869245
15,0.11669324,-0.6602443,0.7023715,0.10706197,-0.68054926,0.7370198,0.084945634,-0.70437616,0.6757268,-0.08631697,-0.6579716,0.75154585,-0.06451019,-0.70763355,0.61168987,0.042916294,-0.450498,0.76439774,-0.25754446,-0.58237255,0.51311445,0.10871559,-0.21022503,0.75594074,-0.45836312,-0.5374947,0.41231832,0.25926626,-0.31441814,0.6413719,-0.492989,-0.3931609,0.31178486,-0.36761236,-0.049623787,0.64880073,-0.5011885,-0.15650597,0.46856207,-0.87479115,0.34253758,0.5098559,0.012902698,0.07458662,0.4583688,-1.5108706,0.4826926,0.371748,-0.30939826,0.6032777,0.32347623,0.00052577985,0.5745392,0.55831283,-0.82633895,1.355637,0.9196242,-0.6624433,0.5677197,0.60017556,0.042258352,0.64552647,0.35206622,-0.049086917,0.64967036,0.28150377,-0.4137854,0.679834,0.31408152
16,0.15690753,-0.66201097,0.7018971,0.14391458,-0.68169546,0.736332,0.120030895,-0.7039249,0.67599094,-0.010157265,-0.6542253,0.7518125,-0.02796269,-0.7068918,0.60977346,0.08690453,-0.45297608,0.76165026,-0.21676938,-0.58196366,0.51323956,0.14063843,-0.20913334,0.75904167,-0.4438702,-0.53864163,0.41304934,0.29691336,-0.30514207,0.63531446,-0.44141015,-0.4611883,0.32621473,-0.27646586,-0.04206243,0.64953256,-0.42931455,-0.14802656,0.46821564,-0.83289284,0.36585703,0.4728125,0.056944445,0.078883424,0.4444077,-1.4892231,0.47653067,0.33763388,-0.22825374,0.6150596,0.32196525,0.13378204,0.52171135,0.5407587,0.00250218,0.57003444,0.619796,-1.1454284,0.118800975,0.3555597,0.14126429,0.6292306,0.33919716,0.04565066,0.6429992,0.27551177,-0.34122124,0.6980265,0.31870148
17,0.18780445,-0.66216815,0.7006079,0.17763466,-0.682905,0.7356642,0.15292194,-0.7044369,0.6773352,0.006837495,-0.65435535,0.74896127,0.010020919,-0.7072433,0.6108452,0.12940077,-0.45061022,0.76304805,-0.16296682,-0.5812581,0.51607215,0.19435915,-0.21316266,0.7603919,-0.44221276,-0.5323086,0.41203773,0.32814217,-0.28824794,0.639256,-0.49896726,-0.4639506,0.3154759,-0.23228024,-0.04110839,0.6494332,-0.38163614,-0.14748815,0.46892565,-0.79350704,0.36610156,0.4817077,0.10300384,0.08659852,0.43636787,-1.1438068,0.35834032,0.40281385,-0.1402846,0.6242077,0.32080045,-1.4141107,0.41230083,0.23496258,-1.5101676,0.47959274,0.39852035,-1.2393403,0.2003838,0.34990528,0.24369945,0.61502177,0.32360768,0.15154003,0.63494784,0.2643829,-0.24778041,0.71069384,0.31484267
18,0.22510006,-0.6624369,0.69991964,0.21115868,-0.68270135,0.73441315,0.18893461,-0.704215,0.6758478,0.03479662,-0.6545496,0.74986494,0.04655615,-0.7062518,0.61076564,0.16861115,-0.45136896,0.7649912,-0.12774089,-0.578048,0.51410335,0.22338465,-0.21538578,0.7650586,-0.41685763,-0.5306752,0.4136821,0.36696234,-0.26609793,0.6420267,-0.45182404,-0.45966336,0.3218087,-0.19643675,-0.037151787,0.65440834,-0.34700257,-0.14197482,0.4689247,-0.726966,0.36301953,0.48762858,0.1457353,0.089440756,0.43262917,-1.1073871,0.38167503,0.44171196,-0.061185207,0.63784546,0.31424105,-1.4723954,0.47044155,0.29124248,-1.5495378,0.5118295,0.42206252,-1.2528615,0.21767694,0.35378912,0.316947,0.61408335,0.3194098,0.23226197,0.6340835,0.25853983,-0.16441134,0.7276207,0.31320488
19,0.25788134,-0.6608011,0.70021266,0.24800505,-0.68154514,0.7338223,0.22210918,-0.7045212,0.67490935,0.23090516,-0.64382535,0.7634059,0.07912378,-0.7056935,0.60888106,0.20802085,-0.45106646,0.76656675,-0.08507241,-0.5783082,0.5161167,0.2544945,-0.21146232,0.7667576,-0.40142828,-0.5225686,0.4106452,0.39072472,-0.24344324,0.6467449,-0.5252854,-0.3568787,0.29403454,-0.14155899,-0.029339781,0.6616054,-0.29856324,-0.13941129,0.47278112,-0.6726622,0.36800832,0.49325857,0.18288332,0.09584977,0.42367163,-1.0955862,0.36140406,0.42913127,0.024873788,0.6415426,0.30882803,-1.4437786,0.4414682,0.23438616,-1.5500073,0.508192,0.42885438,-1.2388346,0.21992865,0.3517587,0.3881658,0.6118588,0.31727904,0.31562227,0.6315314,0.2544559,-0.080094695,0.73645717,0.30719024
20,0.29388073,-0.6607459,0.6999283,0.2831545,-0.6810004,0.7353954,0.25693098,-0.70260125,0.6738967,0.26035583,-0.6433527,0.7618145,0.115058236,-0.70262885,0.60722774,0.24182713,-0.4510995,0.76912045,-0.056742486,-0.5775826,0.5159807,0.29563084,-0.2156861,0.77175546,-0.38948542,-0.5201053,0.40817517,0.42095867,-0.22465484,0.65526754,-0.48635367,-0.34977332,0.29248196,-0.10852059,-0.024846043,0.6619311,-0.26645005,-0.13467337,0.47471672,-0.6309147,0.37694582,0.4997171,0.22487622,0.099996805,0.41894636,-1.0602653,0.3442605,0.43164793,0.102979645,0.6530772,0.3016699,-1.4517237,0.45452714,0.23614888,-1.5628927,0.52786857,0.43099394,-1.2483861,0.20214793,0.37251532,0.45000115,0.61899745,0.3150098,0.38932315,0.63446534,0.24774013,-0.0062824707,0.7449551,0.29624996
21,0.327907,-0.65746206,0.6996454,0.3145274,-0.680944,0.73352706,0.29015493,-0.7026073,0.67467695,0.28905168,-0.64586425,0.7600937,0.15137406,-0.70356196,0.60917056,0.28217164,-0.44824135,0.7708138,-0.01907869,-0.5767504,0.5151277,0.326729,-0.2185155,0.7736115,-0.3525604,-0.5143701,0.4113398,0.44185162,-0.20457946,0.66921145,-0.45377156,-0.34581468,0.2974712,-0.08143775,-0.026067393,0.66032875,-0.22812952,-0.13292974,0.47768146,-0.590163,0.38781637,0.5052458,0.26714137,0.11130124,0.41652367,-1.0181118,0.32836676,0.43511325,0.17620224,0.65785986,0.29080972,-1.1100398,0.42195883,0.22597969,-1.4362454,0.44744766,0.42706406,-0.9850862,0.23016793,0.40491167,0.5249261,0.6061919,0.29848328,0.48156658,0.61611617,0.22573037,0.076423936,0.7512455,0.29457372
22,0.36228725,-0.656405,0.7008299,0.35163096,-0.67879355,0.73446935,0.32408962,-0.7005747,0.67573935,0.34390807,-0.64196527,0.76052254,0.18418425,-0.7017818,0.609578,0.3165488,-0.45003915,0.77006125,0.02193839,-0.5752468,0.5133843,0.3611752,-0.22030044,0.77758074,-0.304829,-0.5086713,0.41526866,0.48442036,-0.18699147,0.6735113,-0.40453765,-0.3376659,0.30676442,-0.034543708,-0.032773335,0.65933686,-0.1885007,-0.13751148,0.47483188,-0.5347496,0.39513513,0.5120845,0.29382542,0.12165922,0.40503705,-1.0049875,0.32886475,0.43085092,0.24389245,0.6561624,0.28519756,-1.0922395,0.44419393,0.40537363,-1.105196,0.45614922,0.48747823,-0.96707964,0.22086653,0.36991748,0.57023996,0.60281324,0.27733046,0.5306191,0.61169434,0.20727612,0.1516424,0.7560545,0.29187027
23,0.39636752,-0.65411353,0.6998401,0.385833,-0.67757446,0.73424697,0.36060137,-0.69938797,0.67520046,0.3815267,-0.64158934,0.7607492,0.22082424,-0.70183176,0.609321,0.35596135,-0.4483866,0.77169997,0.052186366,-0.5760274,0.5139146,0.38728753,-0.22550899,0.7752544,-0.26526964,-0.50086355,0.41439,0.51260376,-0.16329339,0.68393546,-0.3519405,-0.32962438,0.3090699,3.1140942e-05,-0.035627797,0.6627578,-0.15480806,-0.14021446,0.47286984,-0.4740939,0.39668393,0.51293087,0.328891,0.13141462,0.39890036,-0.9388848,0.30582488,0.43316844,0.29645306,0.6611198,0.27422905,-1.0585263,0.4359835,0.41218638,-1.0610439,0.4460597,0.48385224,-0.94632405,0.23488946,0.40641052,0.62867016,0.5945117,0.25015953,0.5898676,0.6075678,0.19262314,0.21205482,0.75880796,0.2834605
24,0.43288407,-0.65231985,0.70121527,0.4191806,-0.67594564,0.73284346,0.39731774,-0.69727194,0.67468756,0.41805026,-0.6389443,0.7613078,0.2570734,-0.698787,0.60847974,0.38842732,-0.44684172,0.77175975,0.08155234,-0.5713471,0.51061547,0.42491037,-0.21678486,0.77757317,-0.23290329,-0.49491245,0.41135377,0.5586865,-0.14072351,0.6918731,-0.30052194,-0.3209518,0.31192905,0.026164161,-0.039403703,0.6603659,-0.11052559,-0.13804442,0.47172767,-0.41060483,0.39824784,0.5265201,0.35731497,0.14206451,0.3949262,-0.86559,0.28080794,0.43221205,0.347473,0.66025144,0.26324025,-0.9555929,0.36400402,0.41016865,-1.0194615,0.4062184,0.48497677,-0.8581926,0.19656594,0.4160582,0.6730992,0.58350426,0.22126822,0.62668204,0.6090267,0.18222934,0.26120856,0.7599169,0.2671615
25,0.46627685,-0.65023756,0.69956106,0.4521388,-0.6743078,0.73377234,0.42887357,-0.693994,0.67663574,0.44479415,-0.6376263,0.7616627,0.29274642,-0.69789904,0.607237,0.41951096,-0.44677627,0.7720738,0.10673092,-0.56968576,0.5061951,0.460998,-0.22107868,0.775147,-0.19847026,-0.48547807,0.40609187,0.58628374,-0.1212175,0.7022289,-0.23476769,-0.3104363,0.3147554,0.072166115,-0.043790817,0.65140176,-0.052292433,-0.13800701,0.4672968,-0.35415405,0.4031531,0.52826643,0.38166127,0.14805327,0.3887714,-0.81878006,0.26480737,0.4458729,0.3966494,0.66473657,0.2597219,-0.94617784,0.3737106,0.41410017,-0.99349934,0.3854738,0.48637608,-0.84521186,0.17912726,0.43403992,0.71131504,0.59592265,0.22537903,0.6702912,0.6155054,0.17567785,0.31102774,0.7666085,0.26613897
26,0.50157756,-0.64897937,0.70096385,0.48688263,-0.672221,0.7348047,0.46427262,-0.69156444,0.6753258,0.48047882,-0.6360793,0.7609653,0.32651904,-0.6949987,0.60684377,0.45557398,-0.44376618,0.7721166,0.14486754,-0.5686398,0.50926167,0.48721132,-0.21800536,0.7817451,-0.16743506,-0.47872075,0.4061474,0.62917876,-0.10100833,0.71603453,-0.17413147,-0.30123064,0.31956914,0.1328531,-0.042641416,0.647267,0.00013956806,-0.13251331,0.46288645,-0.29196164,0.40804434,0.5337443,0.41883904,0.16062142,0.37855873,-0.7880204,0.25486705,0.4531622,0.44526523,0.6700626,0.2573109,-0.933409,0.38632187,0.4239955,-0.9685322,0.3785189,0.49632072,-0.82821083,0.18103373,0.44908315,0.73092526,0.60247827,0.20001207,0.6914406,0.6220024,0.16457143,0.36922264,0.77391547,0.2741807
27,0.53332675,-0.6476566,0.70191073,0.51665324,-0.6717913,0.7340606,0.49968854,-0.6898327,0.6770919,0.5105985,-0.6355874,0.760173,0.36568543,-0.69297856,0.60925376,0.49041796,-0.4395365,0.77229035,0.18198775,-0.5645115,0.50740045,0.51904166,-0.21681014,0.7862932,-0.12293165,-0.47239846,0.40713987,0.66318476,-0.08345443,0.72992617,-0.10363148,-0.29732624,0.32635128,0.1911641,-0.039418317,0.63803655,0.04714465,-0.1278659,0.45667067,-0.22880688,0.4120566,0.53486204,0.46423596,0.16627225,0.37277097,-0.7629629,0.23849715,0.47738248,0.47868323,0.6779849,0.25518972,-0.90489244,0.35995513,0.45114362,-0.88752043,0.3229555,0.5001246,-0.80952233,0.16162682,0.479245,0.7631628,0.6072018,0.19932052,0.7251772,0.626481,0.16349179,0.40373698,0.77933705,0.2721995
