Unnamed: 0,nose_x,nose_y,throad_x,throad_y,left_front_elbow_x,left_front_elbow_y,right_front_elbow_x,right_front_elbow_y,left_back_elbow_x,left_back_elbow_y,right_back_elbow_x,right_back_elbow_y,left_front_knee_x,left_front_knee_y,right_front_knee_x,right_front_knee_y,left_back_knee_x,left_back_knee_y,right_back_knee_x,right_back_knee_y,left_front_paw_x,left_front_paw_y,right_front_paw_x,right_front_paw_y,left_back_paw_x,left_back_paw_y,right_back_paw_x,right_back_paw_y,label
36:49.0,615,13,819,28,907,181,899,203,1235,225,1213,240,907,305,907,291,1228,342,1199,320,892,386,899,371,1162,437,1133,415,0
36:49.5,617,10,812,17,913,178,886,185,1243,239,1216,252,906,300,906,293,1230,340,1196,320,900,380,906,367,1162,428,1135,407,0
36:50.0,614,14,819,28,906,181,899,196,1235,233,1213,247,906,306,914,291,1228,342,1198,328,899,386,899,371,1162,437,1133,408,0
36:50.5,714,14,822,30,917,180,895,186,1234,247,1217,269,906,297,895,291,1223,336,1200,325,895,380,900,375,1161,430,1139,392,0
36:50.9,684,15,815,26,915,178,874,155,1236,242,1218,248,915,295,897,295,1218,336,1201,324,897,383,886,377,1160,429,1137,394,0
36:51.4,616,14,820,36,908,175,901,204,1236,233,1214,248,908,299,901,292,1229,343,1193,328,901,379,886,372,1163,438,1141,409,0
36:51.9,621,29,819,29,907,175,900,197,1244,234,1222,241,907,300,907,293,1237,344,1200,322,900,380,892,366,1171,432,1141,395,0
36:52.4,647,57,809,29,908,177,901,198,1240,234,1211,248,915,297,901,290,1233,346,1190,332,901,389,887,368,1169,431,1141,410,0
36:52.9,705,88,824,49,909,181,903,194,1239,240,1226,280,909,300,903,293,1226,346,1193,333,896,385,896,366,1160,432,1127,399,0
36:53.3,729,99,842,49,924,168,892,175,1232,238,1213,275,911,300,899,294,1219,338,1194,332,899,382,892,376,1169,426,1131,401,0
36:53.8,734,107,840,57,921,163,890,175,1232,244,1213,275,914,300,902,294,1213,331,1201,331,902,381,890,375,1157,424,1132,399,0
